Q,BOU.1161.80.120,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,5,120cm x 170cm        120,2.2,215,20,172,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
Q,BOU.1161.80.158,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,2,160cm x 235cm        160,2.2,395,20,316,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
Q,BOU.1161.80.215,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,4,200cm x 285cm        200,2.2,599,20,479,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
Q,BOU.1161.80.243,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,2,240cm x 340cm        240,2.2,855,20,684,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
Q,BOU.1161.80.280,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,1,280cm x 380cm        280,2.2,1115,20,892,BOU_1161_80_V,BOU_1161_80_S,BOU_1161_80_L, 
Q,BOU.1215.44.120,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,4,120cm x 170cm        120,2.2,215,20,172,BOU_1215_44_V,BOU_1215_44_S,BOU_1215_44_L, 
Q,BOU.1215.44.158,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,3,160cm x 235cm        160,2.2,395,20,316,BOU_1215_44_V,BOU_1215_44_S,BOU_1215_44_L, 
Q,BOU.1215.44.215,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,1,200cm x 285cm        200,2.2,599,20,479,BOU_1215_44_V,BOU_1215_44_S,BOU_1215_44_L, 
Q,BOU.1215.44.243,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,2,240cm x 340cm        240,2.2,855,20,684,BOU_1215_44_V,BOU_1215_44_S,BOU_1215_44_L, 
Q,BOU.1215.44.280,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,2,280cm x 380cm        280,2.2,1115,20,892,BOU_1215_44_V,BOU_1215_44_S,BOU_1215_44_L, 
Q,BOU.1330.80.120,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,6,120cm x 170cm        120,2.2,215,20,172,BOU_1330_80_V,BOU_1330_80_S,BOU_1330_80_L, 
Q,BOU.1330.80.158,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,13,160cm x 235cm        160,2.2,395,20,316,BOU_1330_80_V,BOU_1330_80_S,BOU_1330_80_L, 
Q,BOU.1330.80.215,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,6,200cm x 285cm        200,2.2,599,20,479,BOU_1330_80_V,BOU_1330_80_S,BOU_1330_80_L, 
Q,BOU.1330.80.243,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,3,240cm x 340cm        240,2.2,855,20,684,BOU_1330_80_V,BOU_1330_80_S,BOU_1330_80_L, 
Q,BOU.1330.80.280,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,2,280cm x 380cm        280,2.2,1115,20,892,BOU_1330_80_V,BOU_1330_80_S,BOU_1330_80_L, 
Q,BOU.1560.80.120,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,5,120cm x 170cm        120,2.2,215,20,172,BOU_1560_80_V,BOU_1560_80_S,BOU_1560_80_L, 
Q,BOU.1560.80.158,BOUNCE                                                      ,Modern                                                           ,Bounce is loud; bright and beautiful. Bounce embrasses a deep bold colour pallete combining a modern designs; and old designs with a modern twist.                                                                                                        ,100% Heat set polypropylene frise; machine made.                                                                                                                                                                                                          ,No shedding; highly stain resistant; durable; tight weave; soft under foot; rich colour pallete; colour fast; antistatic and easy to clean.                                                                                                               ,                                                                                                                                                                                                                                                          ,Egypt      ,Heat Set Polypropylene Frise                                     ,                                                                 ,Machine made        ,Regular vacuuming required. Do not use power or rotary vacuum cleaners. Professional cleaning recommended. Any spills should be bloted up immediately. Keep out of direct sunlight.                                                                            ,10,160cm x 235cm        160,2.2,395,20,316,BOU_1560_80_V,BOU_1560_80_S,BOU_1560_80_L, 
